太空杯500ml,FGA-102,兰,1,1
太空杯500ml,FGA-102,茶,1,2
太空杯650ml,FGA-103,兰,1,3
太空杯650ml,FGA-103,茶,1,4
太空杯800ml,FGA-104,兰,1,5
太空杯800ml,FGA-104, 茶 ,1,6
太空杯1000ml,FGA-105,兰,1,7
太空杯1000ml,FGA-105,茶,1,8
太空杯1500ml,FGA-106,兰,1,9
太空杯1500ml,FGA-106,茶,1,10
太空杯2000ml,FGA-107,兰,1,11
太空杯2000ml,FGA-107,茶,1,12
新世纪滤叶太空杯500ml,FGA-J1102,透明花瓶,1,13
新世纪滤叶太空杯650ml,FGA-J1103,透明花瓶,1,14
新世纪滤叶太空杯800ml,FGA-J1104,透明花瓶,1,15
新世纪滤叶太空杯1000ml,FGA-J1105,透明花瓶,1,16
新世纪滤叶太空杯1500ml,FGA-J1101,透明花瓶,1,17
E代500ml幻彩杯,FGA-1106,兰,1,18
E代500ml幻彩杯,FGA-1106,黄,1,19
E代500ml幻彩杯,FGA-1106,粉红,1,20
E代太空杯500ml杯1型,FGA-1106,兰,1,21
E代太空杯500ml杯1型,FGA-1106,白,1,22
E代太空杯500ml杯1型,FGA-1106,茶,1,23
E代太空杯500ml杯1型,FGA-1106,蓝绿,1,24
E代太空杯500ml杯2型,FGA-1106,兰,1,25
E代太空杯500ml杯2型,FGA-1106,白,1,26
E代太空杯500ml杯2型,FGA-1106,茶,1,27
E代太空杯500ml杯2型,FGA-1106,蓝绿,1,28
E代太空杯650ml杯1型,FGA-1107,兰,1,29
E代太空杯650ml杯1型,FGA-1107,白,1,30
E代太空杯650ml杯1型,FGA-1107,茶,1,31
E代太空杯650ml杯1型,FGA-1107,蓝绿,1,32
E代太空杯650ml杯2型,FGA-1107,兰,1,33
E代太空杯650ml杯2型,FGA-1107,白,1,34
E代太空杯650ml杯2型,FGA-1107,茶,1,35
E代太空杯650ml杯2型,FGA-1107,蓝绿,1,36
E代太空杯800ml杯1型,FGA-1108,兰,1,37
E代太空杯800ml杯1型,FGA-1108,白,1,38
E代太空杯800ml杯1型,FGA-1108,茶,1,39
E代太空杯800ml杯1型,FGA-1108,蓝绿,1,40
E代太空杯800ml杯2型,FGA-1108,兰,1,41
E代太空杯800ml杯2型,FGA-1108,白,1,42
E代太空杯800ml杯2型,FGA-1108,茶,1,43
